date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:28	0/0	---M--	200	added ('OK')	text/plain	etag:%220-610e1216e711f%22	https://lhohq.info/robots.txt		(from )
09:20:29	386311/386311	---MCZ	200	added ('OK')	text/html	etag:W/%2261145166-5e507%22	http://www.terryplumming.com/	C:/My%20Web%20Sites/annoyingsite/www.terryplumming.com/index.html	(from )
09:20:30	65795/65795	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Sep%202025%2016:20:24%20GMT	https://lhohq.info/	C:/My%20Web%20Sites/annoyingsite/lhohq.info/index.html	(from )
09:20:30	1235/1235	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Sep%202025%2016:20:24%20GMT	https://appliedchaosdynamicscontrolassociation.net/	C:/My%20Web%20Sites/annoyingsite/appliedchaosdynamicscontrolassociation.net/index.html	(from )
09:20:30	8021/8021	---MCZ	200	added ('OK')	text/html	etag:W/%2210c54ev%22	https://nofear.com/	C:/My%20Web%20Sites/annoyingsite/nofear.com/index.html	(from )
09:20:30	997/997	---M--	200	added ('OK')	text/html	etag:%22657e54da-3e5%22	https://korsse.neocities.org/	C:/My%20Web%20Sites/annoyingsite/korsse.neocities.org/index.html	(from )
09:20:31	35086/35086	---M--	200	added ('OK')	image/gif	etag:%22890e-610e12168950f%22	https://lhohq.info/hovermotionbg.gif	C:/My%20Web%20Sites/annoyingsite/lhohq.info/hovermotionbg.gif	(from https://lhohq.info/)
09:20:31	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Sep%202025%2016:20:31%20GMT	https://lhohq.info/nutrients	C:/My%20Web%20Sites/annoyingsite/lhohq.info/nutrients.1.delayed	(from https://lhohq.info/)
09:20:31	10164/10164	---M-Z	200	added ('OK')	text/html	etag:%2227b4-610e12168e330-gzip%22	https://lhohq.info/lhohq.html	C:/My%20Web%20Sites/annoyingsite/lhohq.info/lhohq.html	(from https://lhohq.info/)
09:20:31	37377/37377	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Sep%202025%2016:20:31%20GMT	https://lhohq.info/nutrients/	C:/My%20Web%20Sites/annoyingsite/lhohq.info/nutrients/index.html	(from https://lhohq.info/)
09:20:35	356322/356322	---M--	200	added ('OK')	image/jpeg	etag:%2256fe2-610e1215fda98%22	https://lhohq.info/atlantic-research-corporation-and-the-ufo-phenomenon.jpg	C:/My%20Web%20Sites/annoyingsite/lhohq.info/atlantic-research-corporation-and-the-ufo-phenomenon.jpg	(from https://lhohq.info/)
09:20:35	391119/391119	---M--	200	added ('OK')	image/gif	etag:%225f7cf-610e1215fcaf8%22	https://lhohq.info/444.gif	C:/My%20Web%20Sites/annoyingsite/lhohq.info/444.gif	(from https://lhohq.info/)
09:20:35	336150/336150	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Aug%202025%2003:35:55%20GMT	https://scarfolk.blogspot.com/	C:/My%20Web%20Sites/annoyingsite/scarfolk.blogspot.com/index.html	(from )
09:20:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Sep%202025%2016:20:32%20GMT	https://appliedchaosdynamicscontrolassociation.net/robots.txt		(from )
09:20:36	1089483/1089483	---M--	200	added ('OK')	video/mp4	etag:%22109fcb-610f74ce87ff2%22	https://appliedchaosdynamicscontrolassociation.net/acdca-logo.mp4	C:/My%20Web%20Sites/annoyingsite/appliedchaosdynamicscontrolassociation.net/acdca-logo.mp4	(from https://appliedchaosdynamicscontrolassociation.net/)
09:20:37	2144302/2144302	---M--	200	added ('OK')	video/ogg	etag:%2220b82e-610f74cedfe40%22	https://appliedchaosdynamicscontrolassociation.net/acdca-logo.ogg	C:/My%20Web%20Sites/annoyingsite/appliedchaosdynamicscontrolassociation.net/acdca-logo.ogg	(from https://appliedchaosdynamicscontrolassociation.net/)
09:20:37	1256621/1256621	---M--	200	added ('OK')	video/webm	etag:%22132cad-610f74cfc7587%22	https://appliedchaosdynamicscontrolassociation.net/acdca-logo.webm	C:/My%20Web%20Sites/annoyingsite/appliedchaosdynamicscontrolassociation.net/acdca-logo.webm	(from https://appliedchaosdynamicscontrolassociation.net/)
09:20:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Sep%202025%2016:20:37%20GMT	https://appliedchaosdynamicscontrolassociation.net/acdca_logo.swf	C:/My%20Web%20Sites/annoyingsite/appliedchaosdynamicscontrolassociation.net/acdca_logo.8.delayed	(from https://appliedchaosdynamicscontrolassociation.net/)
09:20:38	4/4	---M--	404	error ('Not%20Found')	text/html	etag:%225ab865e6-4%22	http://www.terryplumming.com/robots.txt		(from )
09:20:42	386311/386311	---MCZ	200	added ('OK')	text/html	etag:W/%2261145166-5e507%22	http://www.terryplumming.com/index.html	C:/My%20Web%20Sites/annoyingsite/www.terryplumming.com/index-2.html	(from http://www.terryplumming.com/)
09:20:43	15911/15911	---M--	200	added ('OK')	application/pdf	etag:%2248df0f50-3e27%22	http://www.terryplumming.com/terryplumming.pdf	C:/My%20Web%20Sites/annoyingsite/www.terryplumming.com/terryplumming.pdf	(from http://www.terryplumming.com/)
09:21:09	190536/190536	---M--	200	added ('OK')	application/pdf	etag:%2248df0f50-2e848%22	http://www.terryplumming.com/catalog.pdf	C:/My%20Web%20Sites/annoyingsite/www.terryplumming.com/catalog.pdf	(from http://www.terryplumming.com/)
